Ad,SubAccount,TotalLeads,Conversions,ConversionRate
23848680438940389 - Image 3,G?st?v? L?p?z,1918,386,0.20125130344108447
23849802192190251 - Image 4,C?s? S?ñ?d? KC,1318,178,0.13505311077389984
23847344501350467 - Image 2,K?ll?r W?ll??ms Pr?f?rr?d R??lty,1064,207,0.19454887218045114
23847344501350467 - Image 1,K?ll?r W?ll??ms Pr?f?rr?d R??lty,719,122,0.16968011126564672
23850461783140556 - Image 2,B?rn?s ?nt?rn?t??n?l,689,109,0.15820029027576196
23848694716140131 - Image 1,L?dy M?rt?n?z,623,135,0.21669341894060995
23848602840980131 - Image 1,??w? C?mpr? y V?nt? d? C?s?s,585,136,0.23247863247863249
23851921267120131 - Image 3,M?g??l H?wk?ns Pr?st?m?st? c?n H?m?st?r,484,58,0.11983471074380166
23848831604750324 - Image 1,L?k? M?ch?g?n R??lty M?n?g?m?nt,462,91,0.19696969696969696
23847344501350467 - Image 3,K?ll?r W?ll??ms Pr?f?rr?d R??lty,451,95,0.2106430155210643
23851310960030430 - Image 3,?rt M?nd?z? R??lt?r,447,69,0.15436241610738255
23851920354810131 - Image 4,??x? L?ndr?n F?th?rs?n R??lty ?nc.,430,42,0.09767441860465116
23847418475480235 - Image 1,S??ñ?s ?n?d?s,423,68,0.1607565011820331
23848679140170131 - Image 4,M?r??l? M?rt?n?z,414,66,0.15942028985507245
23852564330740072 - Image 2,R?D R??l ?st?t?,411,49,0.1192214111922141
23851842763420430 - Image 2,C?rd?n?l F?n?nc??l C?mp?ny,407,48,0.11793611793611794
23852610079770430 - Image 1,V?l?r?? S?lv? R??lt?r,374,65,0.17379679144385027
23848590450780179 - Image 1,D?v?d T?rr?s,373,58,0.1554959785522788
23847344501350467 - Image 4,K?ll?r W?ll??ms Pr?f?rr?d R??lty,359,77,0.21448467966573817
23852169021510430 - Image 3,C?mpr? C?s?s ?n T?mp?,354,37,0.10451977401129943
23851082478330430 - Image 2,B?rn?s ?nt?rn?t??n?l,338,45,0.13313609467455623
23849530828510279 - Image 2,M?lt?n ?rr?y?,321,47,0.14641744548286603
23851885087240131 - Image 4,R?th - C?mp?s ?nt?rn?t??n?l Gr??p,318,42,0.1320754716981132
23848679140170131 - Image 1,M?r??l? M?rt?n?z,308,64,0.2077922077922078
23853218002630195 - Image 2,Bl?nc? C?t?v?,305,41,0.13442622950819672
23848680438940389 - Image 4,G?st?v? L?p?z,297,59,0.19865319865319866
23849530828510279 - Image 1,M?lt?n ?rr?y?,295,59,0.2
23848831604750324 - Image 3,L?k? M?ch?g?n R??lty M?n?g?m?nt,288,60,0.20833333333333334
23848679140170131 - Image 3,M?r??l? M?rt?n?z,287,44,0.15331010452961671
23848679140170131 - Image 2,M?r??l? M?rt?n?z,284,72,0.2535211267605634
23847418475480235 - Image 3,S??ñ?s ?n?d?s,283,49,0.17314487632508835
23851885087240131 - Image 3,R?th - C?mp?s ?nt?rn?t??n?l Gr??p,278,47,0.16906474820143885
23849802192190251 - Image 2,C?s? S?ñ?d? KC,269,42,0.15613382899628253
23847702975130235 - Image 4,S??ñ?s ?n?d?s,267,58,0.21722846441947566
23851686611040554 - Image 3,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,251,55,0.21912350597609562
23851842743270430 - Image 4,R?zrGr??p,248,16,0.06451612903225806
23849530828510279 - Image 3,M?lt?n ?rr?y?,244,41,0.1680327868852459
23848602840980131 - Image 4,??w? C?mpr? y V?nt? d? C?s?s,220,49,0.22272727272727272
23849802192190251 - Image 1,C?s? S?ñ?d? KC,214,45,0.2102803738317757
23847590781720443 - Image 2,?l?x C?rd?v?,197,43,0.2182741116751269
23851842763420430 - Image 4,C?rd?n?l F?n?nc??l C?mp?ny,195,26,0.13333333333333333
23847418475480235 - Image 2,S??ñ?s ?n?d?s,194,50,0.25773195876288657
23852340217630071 - Image 4,M?r??l? M?rt?n?z,189,17,0.08994708994708994
23852056531110430 - Image 3,G?st?v? L?p?z,188,29,0.15425531914893617
23851082478330430 - Image 1,B?rn?s ?nt?rn?t??n?l,187,30,0.16042780748663102
23847590781720443 - Image 1,?l?x C?rd?v?,187,31,0.1657754010695187
23850780597750062 - Image 3,L?k? M?ch?g?n R??lty M?n?g?m?nt,183,36,0.19672131147540983
23852078169570131 - Image 4,R?c?rd? R??z - GK Pr?p?rt??s,182,29,0.15934065934065933
23848789733590235 - Image 2,S??ñ?s ?n?d?s,181,38,0.20994475138121546
23852755827010389 - Image 1,G?st?v? L?p?z,180,21,0.11666666666666667
23851738692890430 - Image 3,L?dy M?rt?n?z,179,42,0.2346368715083799
23852082337300430 - Image 3,?p?f?n?? ?lm?d?v?r Th? F?d?r?l S?v?ngs B?nk,177,28,0.15819209039548024
23848789733590235 - Image 3,S??ñ?s ?n?d?s,174,36,0.20689655172413793
23851867811530430 - Image 1,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,174,22,0.12643678160919541
23851842743270430 - Image 3,R?zrGr??p,161,15,0.09316770186335403
23852502292260430 - Image 4,J?nn?f?r T?l?d?,161,28,0.17391304347826086
23849781343700220 - Image 1,??x? L?ndr?n F?th?rs?n R??lty ?nc.,156,21,0.1346153846153846
23851610925090062 - Image 1,R?zrGr??p,154,28,0.18181818181818182
23851149622980131 - Image 3,??w? C?mpr? y V?nt? d? C?s?s,151,31,0.2052980132450331
23852082337300430 - Image 2,?p?f?n?? ?lm?d?v?r Th? F?d?r?l S?v?ngs B?nk,149,20,0.1342281879194631
23851813107780554 - Image 1,R?/M?X ?N? P?LMD?L?,143,19,0.13286713286713286
23851867736860430 - Image 1,D?v?d T?rr?s,139,28,0.2014388489208633
23847590781720443 - Image 4,?l?x C?rd?v?,139,24,0.17266187050359713
23850780597750062 - Image 4,L?k? M?ch?g?n R??lty M?n?g?m?nt,138,35,0.2536231884057971
23851842570510430 - Image 2,L?k? M?ch?g?n R??lty M?n?g?m?nt,136,21,0.15441176470588236
23852082337300430 - Image 1,?p?f?n?? ?lm?d?v?r Th? F?d?r?l S?v?ngs B?nk,136,17,0.125
23852056531110430 - Image 1,G?st?v? L?p?z,135,30,0.2222222222222222
23851867811530430 - Image 3,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,130,19,0.14615384615384616
23848590450780179 - Image 4,D?v?d T?rr?s,125,17,0.136
23853218002630195 - Image 3,Bl?nc? C?t?v?,125,18,0.144
23852292829350131 - Image 4,C?mp?s ?nt?rn?t??n?l Gr??p - M?ryl?nd,121,27,0.2231404958677686
23850788953930554 - Image 2,R?zrGr??p,121,25,0.2066115702479339
23851921267120131 - Image 4,M?g??l H?wk?ns Pr?st?m?st? c?n H?m?st?r,120,21,0.175
23851867766320430 - Image 2,?l?x C?rd?v?,115,22,0.19130434782608696
23852169021510430 - Image 2,C?mpr? C?s?s ?n T?mp?,115,6,0.05217391304347826
23852169021510430 - Image 4,C?mpr? C?s?s ?n T?mp?,114,6,0.05263157894736842
23851149622980131 - Image 4,??w? C?mpr? y V?nt? d? C?s?s,105,25,0.23809523809523808
23851920745230131 - image 1,R?/M?X ?N? P?LMD?L?,103,12,0.11650485436893204
23848789733590235 - Image 5,S??ñ?s ?n?d?s,102,21,0.20588235294117646
23849530828510279 - Image 4,M?lt?n ?rr?y?,101,13,0.12871287128712872
23847702975130235 - Image 1,S??ñ?s ?n?d?s,98,16,0.16326530612244897
23853218002630195 - Image 4,Bl?nc? C?t?v?,94,18,0.19148936170212766
23852292829350131 - Image 1,C?mp?s ?nt?rn?t??n?l Gr??p - M?ryl?nd,91,20,0.21978021978021978
23849802192190251 - Image  3,C?s? S?ñ?d? KC,87,11,0.12643678160919541
23852315382510430 - Image 4,St?ph?n?? B?rr?t?,86,20,0.23255813953488372
23849781343700220 - Image 2,??x? L?ndr?n F?th?rs?n R??lty ?nc.,85,15,0.17647058823529413
23851867766320430 - Image 4,?l?x C?rd?v?,81,13,0.16049382716049382
23851149622980131 - Image 1,??w? C?mpr? y V?nt? d? C?s?s,81,13,0.16049382716049382
23851765532490554 - Image 3,D?v?d T?rr?s,81,13,0.16049382716049382
23849781343700220 - Image 4,??x? L?ndr?n F?th?rs?n R??lty ?nc.,81,6,0.07407407407407407
23850780597750062 - Image 1,L?k? M?ch?g?n R??lty M?n?g?m?nt,80,15,0.1875
23846502269490235 - Image 2,S??ñ?s ?n?d?s,80,16,0.2
23852315382510430 - Image 3,St?ph?n?? B?rr?t?,79,13,0.16455696202531644
23850788953930554 - Image 4,R?zrGr??p,77,24,0.3116883116883117
23852978132730462 - Image 2,J??n C?l?d?n R??l ?st?t?,75,8,0.10666666666666667
23852906949820099 - Image 4,?wn?r F?n?nc?ng H??st?n,75,19,0.25333333333333335
23851738692890430 - Image 2,L?dy M?rt?n?z,70,13,0.18571428571428572
23847702975130235 - Image 3,S??ñ?s ?n?d?s,70,11,0.15714285714285714
23850461783140556 - Image 1,B?rn?s ?nt?rn?t??n?l,70,7,0.1
23848789733590235 - Image 4,S??ñ?s ?n?d?s,70,18,0.2571428571428571
23851867766320430 - Image 1,?l?x C?rd?v?,69,10,0.14492753623188406
23846502269490235 - Image 1,S??ñ?s ?n?d?s,68,14,0.20588235294117646
23851149622980131 - Image 2,??w? C?mpr? y V?nt? d? C?s?s,67,12,0.1791044776119403
23852603345370676 - Image 1,?rt M?nd?z? R??lt?r,64,11,0.171875
23846502269490235 - Image 4,S??ñ?s ?n?d?s,62,13,0.20967741935483872
23847625959810235 - Image 4,S??ñ?s ?n?d?s,62,14,0.22580645161290322
23852348700300789 - Image 2,V?l?r?? S?lv? R??lt?r,61,14,0.22950819672131148
23852793253950131 - Image 2,R?b?n R?g?l?d? C?r? R??l ?st?t?,59,13,0.22033898305084745
23852706870330430 - Image 4,Pr?m?T?m? R??lt?rs,59,9,0.15254237288135594
23851885087240131 - Image 1,R?th - C?mp?s ?nt?rn?t??n?l Gr??p,59,11,0.1864406779661017
23851867766320430 - Image 3,?l?x C?rd?v?,58,9,0.15517241379310345
23852622058580430 - Image 1,D?rly ?lv?r?z,56,9,0.16071428571428573
23851920354810131 - Image 1,??x? L?ndr?n F?th?rs?n R??lty ?nc.,55,7,0.12727272727272726
23851920354810131 - Image 3,??x? L?ndr?n F?th?rs?n R??lty ?nc.,55,3,0.05454545454545454
23852502292260430 - Image 3,J?nn?f?r T?l?d?,55,8,0.14545454545454545
23852348700300789 - Image 3,V?l?r?? S?lv? R??lt?r,54,9,0.16666666666666666
23848694716140131 - Image 3,L?dy M?rt?n?z,53,15,0.2830188679245283
23848602840980131 - Image 2,??w? C?mpr? y V?nt? d? C?s?s,53,18,0.33962264150943394
23852978132730462 - Image 4,J??n C?l?d?n R??l ?st?t?,53,5,0.09433962264150944
23850788953930554 - Image 1,R?zrGr??p,52,10,0.19230769230769232
23851920354810131 - Image 2,??x? L?ndr?n F?th?rs?n R??lty ?nc.,51,6,0.11764705882352941
23847418475480235 - Image 4,S??ñ?s ?n?d?s,51,14,0.27450980392156865
23852392890210131 - Image 3,H&T Pr?p?rt??s,51,9,0.17647058823529413
23850780597750062 - Image 2,L?k? M?ch?g?n R??lty M?n?g?m?nt,51,8,0.1568627450980392
23851082478330430 - Image 4,B?rn?s ?nt?rn?t??n?l,51,10,0.19607843137254902
23848590450780179 - Image 2,D?v?d T?rr?s,51,3,0.058823529411764705
23848602840980131 - Image 3,??w? C?mpr? y V?nt? d? C?s?s,50,6,0.12
23848694716140131 - Image 4,L?dy M?rt?n?z,50,12,0.24
23846502269490235 - Image 3,S??ñ?s ?n?d?s,49,9,0.1836734693877551
23851842570510430 - Image 4,L?k? M?ch?g?n R??lty M?n?g?m?nt,48,9,0.1875
23852906949820099 - Image 1,?wn?r F?n?nc?ng H??st?n,48,3,0.0625
23852986928610683 - Image 4,R??lt?r,46,6,0.13043478260869565
23851867736860430 - Image 2,D?v?d T?rr?s,46,7,0.15217391304347827
23852983012550556 - Image 3,B?rn?s ?nt?rn?t??n?l,45,7,0.15555555555555556
23852622058580430 - Image 3,D?rly ?lv?r?z,44,8,0.18181818181818182
23854393358630734 - Image 1,?n?t?d Fr??d?m R??lty,44,8,0.18181818181818182
23852048513950128 - Image 5,L?dy M?rt?n?z,43,5,0.11627906976744186
23852538024010131 - Image 1,M?r??l? M?rt?n?z,43,9,0.20930232558139536
23851611018830062 - Image 3,C?rd?n?l F?n?nc??l C?mp?ny,41,14,0.34146341463414637
23853120369950250 - Image 1,L?sl?? G?rc??,39,4,0.10256410256410256
23852971015760388 - Image 2,R?v?r? R??lty,39,7,0.1794871794871795
23852706870330430 - Image 1,Pr?m?T?m? R??lt?rs,38,4,0.10526315789473684
23853233307140183 - Image 1,R?b?n R?g?l?d? C?r? R??l ?st?t?,38,5,0.13157894736842105
23852806253400430 - Image 2,R?/M?X ?N? P?LMD?L?,38,1,0.02631578947368421
23852706870330430 - Image 3,Pr?m?T?m? R??lt?rs,37,3,0.08108108108108109
23852906949820099 - Image 2,?wn?r F?n?nc?ng H??st?n,36,4,0.1111111111111111
23852056531110430 - Image 2,G?st?v? L?p?z,36,3,0.08333333333333333
23848789733590235 - Image 1,S??ñ?s ?n?d?s,36,7,0.19444444444444445
23847625959810235 - Image 3,S??ñ?s ?n?d?s,35,9,0.2571428571428571
23852840340000131 - Image 1,C?mp?s ?nt?rn?t??n?l Gr??p - M?ryl?nd,34,6,0.17647058823529413
23847590781720443 - Image 3,?l?x C?rd?v?,34,3,0.08823529411764706
23852622058580430 - Image 4,D?rly ?lv?r?z,34,9,0.2647058823529412
23852797150500131 - Image 2,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,34,7,0.20588235294117646
23852564330740072 - Image 4,R?D R??l ?st?t?,34,5,0.14705882352941177
23851738692890430 - Image 4,L?dy M?rt?n?z,33,6,0.18181818181818182
23852392890210131 - Image 4,H&T Pr?p?rt??s,33,2,0.06060606060606061
23851867736860430 - Image 3,D?v?d T?rr?s,33,6,0.18181818181818182
23853453460240708 - Image 2,C?nt?ry 21 M?st?rs,33,7,0.21212121212121213
23850788953930554 - Image 3,R?zrGr??p,32,9,0.28125
23853120369950250 - Image 2,L?sl?? G?rc??,31,5,0.16129032258064516
23852048513950128 - Image 4,L?dy M?rt?n?z,30,5,0.16666666666666666
23847702975130235 - Image 2,S??ñ?s ?n?d?s,29,5,0.1724137931034483
23852292829350131 - Image 2,C?mp?s ?nt?rn?t??n?l Gr??p - M?ryl?nd,29,6,0.20689655172413793
23852048513950128 - Image 1,L?dy M?rt?n?z,29,5,0.1724137931034483
23848831604750324 - Image 2,L?k? M?ch?g?n R??lty M?n?g?m?nt,29,3,0.10344827586206896
23852983012550556 - Image 1,B?rn?s ?nt?rn?t??n?l,28,4,0.14285714285714285
23851867811530430 - Image 2,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,28,6,0.21428571428571427
23851611018830062 - Image 2,C?rd?n?l F?n?nc??l C?mp?ny,27,9,0.3333333333333333
23852797150500131 - Image 3,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,27,1,0.037037037037037035
23851310960030430 - Image 4,?rt M?nd?z? R??lt?r,27,3,0.1111111111111111
23852906949820099 - Image 3,?wn?r F?n?nc?ng H??st?n,27,1,0.037037037037037035
23852392890210131 - Image 1,H&T Pr?p?rt??s,27,3,0.1111111111111111
23852818986320430 - Image 4,D?v?d T?rr?s,26,2,0.07692307692307693
23852498425910094 - Image 2,Fr?nc?sc? J. C?z? M?rtg?g? ?dv?s?r,26,1,0.038461538461538464
23853045766470612 - Image 4,M?g??l P?r?z R??lt?r,26,4,0.15384615384615385
23852648720500729 - Image 4,?l?c?s M?l?nd?z c?n ?ll??nc? R??l ?st?t?,26,4,0.15384615384615385
23852498425910094 - Image 2,Gl?d?s M?dr?d,26,1,0.038461538461538464
23852819165720430 - Image 3,J?s?s C?nt?ry 21 P?w?rh??s? R??lty,25,1,0.04
23852498425910094 - Image 1,Gl?d?s M?dr?d,24,1,0.041666666666666664
23851610925090062 - Image 3,R?zrGr??p,24,6,0.25
